from,to,value,type,lng1,lat1,lng2,lat2
拉萨,北京,2.05,move_out,91.111891,29.662557,116.395645,39.929986
拉萨,北京,0.69,move_in,91.111891,29.662557,116.395645,39.929986
那曲,北京,0.16,move_in,92.067018,31.48068,116.395645,39.929986
日喀则,北京,1.06,move_out,88.891486,29.269023,116.395645,39.929986
日喀则,北京,0.43,move_in,88.891486,29.269023,116.395645,39.929986
昆明,北京,0.37,move_in,102.714601,25.049153,116.395645,39.929986
普洱,北京,0.08,move_out,100.980058,22.788778,116.395645,39.929986
普洱,北京,0.16,move_in,100.980058,22.788778,116.395645,39.929986
西双版纳,北京,0.5,move_out,100.803038,22.009433,116.395645,39.929986
西双版纳,北京,0.36,move_in,100.803038,22.009433,116.395645,39.929986
临沧,北京,0.24,move_in,100.092613,23.887806,116.395645,39.929986
大理,北京,0.34,move_out,100.223675,25.5969,116.395645,39.929986
大理,北京,0.47,move_in,100.223675,25.5969,116.395645,39.929986
保山,北京,0.28,move_out,99.177996,25.120489,116.395645,39.929986
保山,北京,0.22,move_in,99.177996,25.120489,116.395645,39.929986
丽江,北京,0.72,move_out,100.229628,26.875351,116.395645,39.929986
丽江,北京,0.7,move_in,100.229628,26.875351,116.395645,39.929986
德宏,北京,0.16,move_out,98.589434,24.44124,116.395645,39.929986
德宏,北京,0.3,move_in,98.589434,24.44124,116.395645,39.929986
张掖,北京,0.74,move_out,100.459892,38.93932,116.395645,39.929986
张掖,北京,0.79,move_in,100.459892,38.93932,116.395645,39.929986
武威,北京,0.64,move_out,102.640147,37.933172,116.395645,39.929986
武威,北京,0.78,move_in,102.640147,37.933172,116.395645,39.929986
三亚,北京,3.28,move_out,109.522771,18.257776,116.395645,39.929986
三亚,北京,1.96,move_in,109.522771,18.257776,116.395645,39.929986
鄂州,北京,0.54,move_out,114.895594,30.384439,116.395645,39.929986
乌海,北京,2.37,move_out,106.831999,39.683177,116.395645,39.929986
乌海,北京,1.37,move_in,106.831999,39.683177,116.395645,39.929986
莱芜,北京,2.56,move_out,117.684667,36.233654,116.395645,39.929986
莱芜,北京,1.24,move_in,117.684667,36.233654,116.395645,39.929986
海口,北京,0.58,move_out,110.330802,20.022071,116.395645,39.929986
海口,北京,0.53,move_in,110.330802,20.022071,116.395645,39.929986
蚌埠,北京,1.03,move_out,117.35708,32.929499,116.395645,39.929986
蚌埠,北京,0.77,move_in,117.35708,32.929499,116.395645,39.929986
济源,北京,2.48,move_out,112.609183,35.073092,116.395645,39.929986
济源,北京,0.94,move_in,112.609183,35.073092,116.395645,39.929986
合肥,北京,1.31,move_out,117.282699,31.866942,116.395645,39.929986
合肥,北京,0.59,move_in,117.282699,31.866942,116.395645,39.929986
阜阳,北京,2.09,move_out,115.820932,32.901211,116.395645,39.929986
阜阳,北京,1.63,move_in,115.820932,32.901211,116.395645,39.929986
安庆,北京,1.47,move_out,117.058739,30.537898,116.395645,39.929986
