from,to,value,type,lng1,lat1,lng2,lat2
拉萨,上海,1.06,move_out,91.111891,29.662557,121.487899,31.249162
日喀则,上海,0.42,move_out,88.891486,29.269023,121.487899,31.249162
普洱,上海,0.1,move_in,100.980058,22.788778,121.487899,31.249162
西双版纳,上海,0.41,move_out,100.803038,22.009433,121.487899,31.249162
西双版纳,上海,0.31,move_in,100.803038,22.009433,121.487899,31.249162
大理,上海,0.19,move_in,100.223675,25.5969,121.487899,31.249162
保山,上海,0.24,move_out,99.177996,25.120489,121.487899,31.249162
保山,上海,0.16,move_in,99.177996,25.120489,121.487899,31.249162
怒江,上海,0.21,move_in,98.859932,25.860677,121.487899,31.249162
丽江,上海,0.71,move_in,100.229628,26.875351,121.487899,31.249162
迪庆,上海,0.29,move_out,99.713682,27.831029,121.487899,31.249162
迪庆,上海,0.31,move_in,99.713682,27.831029,121.487899,31.249162
德宏,上海,0.15,move_in,98.589434,24.44124,121.487899,31.249162
三亚,上海,2.2,move_out,109.522771,18.257776,121.487899,31.249162
三亚,上海,1.68,move_in,109.522771,18.257776,121.487899,31.249162
鄂州,上海,0.93,move_out,114.895594,30.384439,121.487899,31.249162
鄂州,上海,0.46,move_in,114.895594,30.384439,121.487899,31.249162
莱芜,上海,1.01,move_out,117.684667,36.233654,121.487899,31.249162
莱芜,上海,0.54,move_in,117.684667,36.233654,121.487899,31.249162
海口,上海,0.38,move_out,110.330802,20.022071,121.487899,31.249162
海口,上海,0.4,move_in,110.330802,20.022071,121.487899,31.249162
蚌埠,上海,12.06,move_out,117.35708,32.929499,121.487899,31.249162
蚌埠,上海,3.43,move_in,117.35708,32.929499,121.487899,31.249162
济源,上海,0.51,move_out,112.609183,35.073092,121.487899,31.249162
合肥,上海,7.77,move_out,117.282699,31.866942,121.487899,31.249162
合肥,上海,1.53,move_in,117.282699,31.866942,121.487899,31.249162
阜阳,上海,11.22,move_out,115.820932,32.901211,121.487899,31.249162
阜阳,上海,4.13,move_in,115.820932,32.901211,121.487899,31.249162
芜湖,上海,14.99,move_out,118.384108,31.36602,121.487899,31.249162
芜湖,上海,2.8,move_in,118.384108,31.36602,121.487899,31.249162
安庆,上海,10.43,move_out,117.058739,30.537898,121.487899,31.249162
安庆,上海,3.43,move_in,117.058739,30.537898,121.487899,31.249162
北京,上海,2.55,move_out,116.395645,39.929986,121.487899,31.249162
南平,上海,5.9,move_out,118.181883,26.643626,121.487899,31.249162
南平,上海,2.43,move_in,118.181883,26.643626,121.487899,31.249162
泉州,上海,1.25,move_out,118.600362,24.901652,121.487899,31.249162
定西,上海,0.4,move_out,104.626638,35.586056,121.487899,31.249162
韶关,上海,0.14,move_out,113.594461,24.80296,121.487899,31.249162
珠海,上海,0.53,move_out,113.562447,22.256915,121.487899,31.249162
贵阳,上海,0.46,move_out,106.709177,26.629907,121.487899,31.249162
沧州,上海,0.56,move_out,116.863806,38.297615,121.487899,31.249162
新乡,上海,0.86,move_out,113.91269,35.307258,121.487899,31.249162
新乡,上海,0.44,move_in,113.91269,35.307258,121.487899,31.249162
洛阳,上海,1.35,move_out,112.447525,34.657368,121.487899,31.249162
洛阳,上海,0.64,move_in,112.447525,34.657368,121.487899,31.249162
商丘,上海,3.99,move_out,115.641886,34.438589,121.487899,31.249162
商丘,上海,1.63,move_in,115.641886,34.438589,121.487899,31.249162
许昌,上海,1.28,move_out,113.835312,34.02674,121.487899,31.249162
许昌,上海,0.5,move_in,113.835312,34.02674,121.487899,31.249162
荆州,上海,1.14,move_out,112.241866,30.332591,121.487899,31.249162
荆州,上海,0.69,move_in,112.241866,30.332591,121.487899,31.249162
长沙,上海,1.06,move_out,112.979353,28.213478,121.487899,31.249162
镇江,上海,8.88,move_out,119.455835,32.204409,121.487899,31.249162
镇江,上海,3.14,move_in,119.455835,32.204409,121.487899,31.249162
南通,上海,31.39,move_out,120.873801,32.014665,121.487899,31.249162
南通,上海,14.66,move_in,120.873801,32.014665,121.487899,31.249162
淮安,上海,11.01,move_out,119.030186,33.606513,121.487899,31.249162
淮安,上海,3.38,move_in,119.030186,33.606513,121.487899,31.249162
南昌,上海,4.11,move_out,115.893528,28.689578,121.487899,31.249162
南昌,上海,0.96,move_in,115.893528,28.689578,121.487899,31.249162
新余,上海,3.08,move_out,114.947117,27.822322,121.487899,31.249162
新余,上海,1.24,move_in,114.947117,27.822322,121.487899,31.249162
大连,上海,1.33,move_out,121.593478,38.94871,121.487899,31.249162
枣庄,上海,4.36,move_out,117.279305,34.807883,121.487899,31.249162
枣庄,上海,1.39,move_in,117.279305,34.807883,121.487899,31.249162
日照,上海,1.53,move_out,119.50718,35.420225,121.487899,31.249162
日照,上海,0.65,move_in,119.50718,35.420225,121.487899,31.249162
东营,上海,0.55,move_out,118.583926,37.487121,121.487899,31.249162
东营,上海,0.45,move_in,118.583926,37.487121,121.487899,31.249162
威海,上海,2,move_out,122.093958,37.528787,121.487899,31.249162
威海,上海,0.81,move_in,122.093958,37.528787,121.487899,31.249162
太原,上海,0.73,move_out,112.550864,37.890277,121.487899,31.249162
温州,上海,8.74,move_out,120.690635,28.002838,121.487899,31.249162
温州,上海,2.59,move_in,120.690635,28.002838,121.487899,31.249162
杭州,上海,13.21,move_out,120.219375,30.259244,121.487899,31.249162
杭州,上海,4.83,move_in,120.219375,30.259244,121.487899,31.249162
宁波,上海,16.83,move_out,121.579006,29.885259,121.487899,31.249162
宁波,上海,5.11,move_in,121.579006,29.885259,121.487899,31.249162
亳州,上海,9.02,move_out,115.787928,33.871211,121.487899,31.249162
亳州,上海,3.58,move_in,115.787928,33.871211,121.487899,31.249162
滁州,上海,10.27,move_out,118.32457,32.317351,121.487899,31.249162
滁州,上海,2.24,move_in,118.32457,32.317351,121.487899,31.249162
宣城,上海,19.17,move_out,118.752096,30.951642,121.487899,31.249162
宣城,上海,5.55,move_in,118.752096,30.951642,121.487899,31.249162
宁德,上海,6.2,move_out,119.542082,26.656527,121.487899,31.249162
宁德,上海,2.2,move_in,119.542082,26.656527,121.487899,31.249162
龙岩,上海,0.66,move_out,117.017997,25.078685,121.487899,31.249162
龙岩,上海,0.62,move_in,117.017997,25.078685,121.487899,31.249162
厦门,上海,3.06,move_out,118.103886,24.489231,121.487899,31.249162
厦门,上海,0.74,move_in,118.103886,24.489231,121.487899,31.249162
莆田,上海,1.74,move_out,119.077731,25.44845,121.487899,31.249162
莆田,上海,0.91,move_in,119.077731,25.44845,121.487899,31.249162
天水,上海,0.9,move_out,105.736932,34.584319,121.487899,31.249162
潮州,上海,0.28,move_out,116.630076,23.661812,121.487899,31.249162
衡水,上海,0.38,move_out,115.686229,37.746929,121.487899,31.249162
濮阳,上海,1.69,move_out,115.026627,35.753298,121.487899,31.249162
开封,上海,1.43,move_out,114.351642,34.801854,121.487899,31.249162
开封,上海,0.4,move_in,114.351642,34.801854,121.487899,31.249162
焦作,上海,0.9,move_out,113.211836,35.234608,121.487899,31.249162
三门峡,上海,0.88,move_out,111.181262,34.78332,121.487899,31.249162
平顶山,上海,1.02,move_out,113.300849,33.745301,121.487899,31.249162
平顶山,上海,0.56,move_in,113.300849,33.745301,121.487899,31.249162
信阳,上海,7.24,move_out,114.085491,32.128582,121.487899,31.249162
信阳,上海,2.26,move_in,114.085491,32.128582,121.487899,31.249162
鹤壁,上海,0.88,move_out,114.29777,35.755426,121.487899,31.249162
鹤壁,上海,0.53,move_in,114.29777,35.755426,121.487899,31.249162
十堰,上海,1.38,move_out,110.801229,32.636994,121.487899,31.249162
荆门,上海,1.38,move_out,112.21733,31.042611,121.487899,31.249162
武汉,上海,2.36,move_out,114.3162,30.581084,121.487899,31.249162
武汉,上海,0.8,move_in,114.3162,30.581084,121.487899,31.249162
常德,上海,0.68,move_out,111.653718,29.012149,121.487899,31.249162
常德,上海,0.45,move_in,111.653718,29.012149,121.487899,31.249162
岳阳,上海,0.89,move_out,113.146196,29.378007,121.487899,31.249162
